"region","sum.2","sum.3","sum.4","present"
"Eastern Asia",94009.5940497114,601736.674735566,2933561.8660895,2825707.97115368
"Southern Asia",96421.1420024829,46801.6633490006,58061.2380764616,2717774.54567025
"Northern America",116967.552402282,57151.9306837891,167737.747409061,2248839.61315192
"Eastern Europe",92694.770833803,301137.293521718,738733.818525363,1980799.48501704
"Western Europe",31783.9194591258,17742.9449529948,20178.8596070775,1574686.58016231
"Western Asia",33777.3733805016,18274.6069888081,916186.946940959,596819.886404131
"Southern Europe",17592.6250439824,9546.44263865219,12119.9175801435,549769.334275976
"Northern Europe",9278.28694108258,5523.30789662992,6564.48140974889,549311.513510796
"South America",13670.0926400665,6214.94808293699,6635.51258926703,516929.781148373
"Australia and New Zealand",19266.0598149347,10216.4957744844,13568.2197966636,472319.02350878
"Central Asia",24669.5209045934,13441.685375794,16089.0721764301,417702.969797912
"Northern Africa",11724.5381002874,6307.88865522611,7584.10085173914,222226.467578292
"Central America",2518.50819556917,1158.328957452,1136.43009796324,72884.8420380209
"Eastern Africa",1408.36508730568,630.679897375159,589.919933754955,40130.1498132745
"Southern Africa",1231.91705285697,565.430544777635,589.076514825413,36319.7400633792
"South-Eastern Asia",161.040930600542,78.5339915162889,81.9876840650704,5364.24590331479
"Western Africa",94.3211972229127,44.1458603120519,44.9712140520914,2190.33717284906
"Middle Africa",42.9572951309867,16.7664933764523,13.0345912026358,1208.51511864513
