"region","median","mean","range","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Northern America",0.14098738,0.513933666357895,"0.0019324619,2.3781255",0.146619686296294,0.140537496183225,0.136260298824771,0.150180886178074,0.149757533396839,0.154396098248685,"0.0711905032629195,0.244273189999564","0.0647902517549682,0.274046090308534","0.0559442284299559,0.38599260647909"
"Southern Asia",0.11145122,0.402532248046203,"7.6010216e-06,4.9398085",0.0885144551068084,0.0974666635398783,0.105663518833186,0.0996766887109594,0.104670999540998,1.99007732810945,"0.0190194603631031,0.380547006121409","-0.577304364442671,0.346842499947548","-0.577304364442671,141.028461512657"
"Eastern Asia",0.10145238,0.388706093965,"3.1581231e-08,3.6904175",0.173878331130719,0.191184503449684,0.208412318912304,0.177577861587271,0.244931154644982,0.369009136486798,"0.0210095659117201,0.506548182261362","-0.469850547419668,22.6139504619997","-1.17688385600913,18.616842941293"
"South-Eastern Asia",0.0849153725,0.34216093909311,"1.2645035e-05,7.0812476",0.0598856629223072,0.0556888755111583,0.0516126850221002,0.0646129699549673,0.0611962423137654,0.0562606447556926,"0.00845200204738689,0.222880627092367","-0.0389617515393462,0.236066330660208","-0.210393270363247,0.254577354193113"
"Caribbean",0.082605671,0.0961976208428571,"0.0089510898,0.22675107",0.0548455013263671,0.0443787461770702,0.033251653232969,0.0570558198989092,0.0474517601419587,0.0342201185776766,"0.0307535102091387,0.0801698730287801","0.0242477521596039,0.0805591552812328","0.000699655443009285,0.0810506329799046"
"Australia and New Zealand",0.022299406,0.0515407712895238,"0.00014287689,0.28961287",0.131054183078854,0.133937265739368,0.135114275045454,0.129354449068665,0.131439615986919,0.134620828045448,"0.100298984563678,0.153840433249794","0.100901445725246,0.152602217809547","0.10185375328917,0.157851222194161"
"Western Europe",0.0208716075,0.1481786918,"0.0069005222,0.54407103",0.109837619471789,0.106339692124219,0.0995842917928489,0.109173047261367,0.10528829231406,0.0993476921999315,"0.0986829649575841,0.118333985144304","0.0940594658828523,0.114414319124951","0.0873818685327517,0.110840316681277"
"Western Africa",0.01046899,0.0234617181642442,"7.0441616e-06,0.38774815",0.0498897609608381,0.0505280726629264,0.0507613111741771,0.0597812569567802,0.0609317049914956,0.0624341910849478,"0.0274043721857576,0.275968788642921","0.028417845998731,0.276318498723004","0.0295957218363983,0.29135516159882"
"Southern Europe",0.0089571034,0.0527471722738868,"1.2944715e-05,0.80741947",0.115500439324311,0.113385145450203,0.109308441616998,0.111549290043963,0.107446270926544,0.0801155011085717,"0.0133744438851922,0.162301897142609","0.00929273563939901,0.158809310193256","-0.384965719180748,0.171818648761806"
"Central America",0.003833376,0.0172993102288032,"4.5370011e-08,0.30344339",0.0467463411045632,0.0401757264516832,0.0328469553538304,0.0542728710950573,0.0465432875530997,0.0354444499577773,"-0.113549512167029,0.141437726875124","-0.113549512167029,0.136034490269142","-0.113549512167029,0.129196931247631"
"Central Asia",0.0035114711,0.00816194256903846,"0.00044969752,0.062568279",0.140942925816027,0.143228036891472,0.170364886900177,0.13769316701341,0.166492068236592,3.15372913580129,"0.0500973355272175,0.249545387972929","0.0486311806579748,0.581822833345875","-0.664822081169264,74.5268173969245"
"South America",0.0026840341,0.0252587995384251,"1.8287887e-11,2.6572873",0.040542475516145,0.0306084567131669,0.0177558453409239,0.0557536223236205,0.398505853687776,0.602417709420222,"-0.00640367087003326,0.411082413967645","-0.689561278170659,91.3963937160522","-0.833299907579166,127.522860806837"
"Eastern Europe",0.0015857305,0.00982039095730769,"0.00018678959,0.37810687",0.12007972066489,0.118965508637611,0.119136110637144,0.114935576742079,0.119034219606582,13.9521553329552,"0.0248377762863887,0.250698954588855","0.0167797538696587,0.29308083407947","-0.0912142047789173,319.731280617197"
"Western Asia",0.00119083065,0.00697316899813182,"1.3010568e-06,0.12099987",0.1683294642001,0.161849972629091,0.137699601686879,0.156296833484193,0.14966757595724,0.139825805044191,"0.0463157783547499,0.275296946474156","0.0477386636126089,0.268890846649358","0.0511855378630872,0.254809237887318"
"Eastern Africa",0.000310154985,0.00615217255694197,"2.3585256e-07,0.21425571",0.0327018960759134,0.030128591093857,0.0278026007407215,0.0461847945532706,0.0406546734884474,0.0304002896320827,"0.00563957417807747,0.18011448615536","-0.0247602890018522,0.171110353937423","-0.125196408066042,0.159734132703123"
"Middle Africa",0.00013143818,0.00149211855258229,"3.9025536e-06,0.031785307",0.0429785666767642,0.034148763862442,0.0196563324507903,0.0444553172924366,0.0389223669024204,0.0307137746242303,"0.0067058787353687,0.24803748870288","-0.0252141163534578,0.25284509885666","-0.109921803764136,0.25879156837282"
"Northern Africa",6.099329e-05,0.0389097550247049,"6.1228071e-06,3.116153",0.0472173084857115,0.0443031387919024,0.0410997859356231,0.0487882454790749,0.0454505072448931,0.0406020573014614,"0.0162720496764454,0.153530840650154","0.0128599068696328,0.136778715149743","-0.00360511028442122,0.168256423589888"
"Southern Africa",2.7219903e-05,4.06429529986111e-05,"1.1310121e-06,0.00019545017",0.0774349271779692,0.0721760623688027,0.0646167283218853,0.0759154511544906,0.0716476486339898,0.0659440935303189,"0.0286634004615409,0.111805242368379","0.027293423546325,0.108797815225759","0.0150651815465277,0.109896145276416"
"Melanesia",1.1874199e-05,1.29840738407407e-05,"2.6564993e-06,3.1654981e-05",0.0147176301059664,0.0112078143298928,0.00736618559387839,0.0173145019870287,0.045720892659468,0.0648973691230483,"-0.00122459232474974,0.0504741262033463","-0.0682734822695002,0.816733489970716","-0.1322797300881,0.816733489970716"
