"region","sum.2","sum.3","sum.4","present"
"Eastern Asia",159491.776324182,201251.534504466,348768.624975608,5614346.18628731
"Southern Asia",159533.392220284,170049.553930743,258180.055513745,4864953.88424954
"South-Eastern Asia",80108.408645287,77079.8179066766,72880.0789978988,3854262.67808095
"South America",7188.11367589878,18217.0067581026,37356.5117923391,481650.085990142
"Northern America",6226.34397728457,5990.33551852582,5705.88026732176,279135.502543359
"Western Africa",4031.64330027334,4102.54423169325,4195.21596782369,158295.299594518
"Northern Africa",1494.76803966999,1335.4789501,1122.51617723932,93846.4674508734
"Southern Europe",1273.19177992154,1238.36334566656,1110.36522350752,70942.7507109625
"Eastern Africa",917.172532784838,843.835442419499,738.177462552576,51465.2683672659
"Caribbean",495.641014638488,403.181623444096,275.450723722758,43698.5788603059
"Central America",610.066838042582,547.43802716888,459.109535885729,38318.614117781
"Australia and New Zealand",469.399017295716,474.370142289921,481.993754202222,30484.3218455165
"Eastern Europe",860.392630949832,1066.02468224844,275264.781315093,23243.2626891762
"Western Europe",275.720111419362,269.304028328325,260.117146936794,14687.2023294941
"Central Asia",542.355107113489,604.973415466731,2345.08000719371,11064.5165493068
"Middle Africa",228.979602465139,184.020060978592,114.824959218465,8919.72638127011
"Western Asia",313.084370162309,289.449839633286,252.023280040799,8130.28857251948
"Southern Africa",2.67779859650011,2.464991319108,2.17394944410179,88.4451792514813
"Melanesia",0.0891123160830195,0.160617630662538,0.265567125755649,11.9353291749223
