"","region","crop","phi","fact","value"
"463","Western Africa","M",3,"IPM",0.208783650671795
"464","Western Africa","M",3,"MET",0.193042615230769
"465","Western Africa","M",3,"POP",0.0132614678452308
"466","Western Africa","M",4,"IPM",0.220367661331282
"467","Western Africa","M",4,"MET",0.193042615230769
"468","Western Africa","M",4,"POP",0.0230250785412821
"469","Western Africa","R",2,"IPM",0.197923070292398
"470","Western Africa","R",2,"MET",0.193658180409357
"471","Western Africa","R",2,"POP",0.00359810895838012
"472","Western Africa","R",3,"IPM",0.202136224269006
"473","Western Africa","R",3,"MET",0.193658180409357
"474","Western Africa","R",3,"POP",0.00715573449298246
"475","Western Africa","R",4,"IPM",0.207581097795322
"476","Western Africa","R",4,"MET",0.193658180409357
"477","Western Africa","R",4,"POP",0.0117589941118129
"478","Western Africa","W",2,"IPM",0.19172628987013
"479","Western Africa","W",2,"MET",0.189322338311688
"480","Western Africa","W",2,"POP",0.00199779284818182
"481","Western Africa","W",3,"IPM",0.193941213636364
"482","Western Africa","W",3,"MET",0.189322338311688
"483","Western Africa","W",3,"POP",0.00384028768483117
"484","Western Africa","W",4,"IPM",0.196501852987013
"485","Western Africa","W",4,"MET",0.189322338311688
"486","Western Africa","W",4,"POP",0.0059703804314026
"487","Western Asia","M",2,"IPM",0.270377521578947
"488","Western Asia","M",2,"MET",0.266202345368421
"489","Western Asia","M",2,"POP",0.00412568520157895
"490","Western Asia","M",3,"IPM",0.254572318905263
"491","Western Asia","M",3,"MET",0.266202345368421
"492","Western Asia","M",3,"POP",-0.007177568976
"493","Western Asia","M",4,"IPM",0.189906106726316
"494","Western Asia","M",4,"MET",0.266202345368421
"495","Western Asia","M",4,"POP",-0.0561865334505263
"496","Western Asia","R",2,"IPM",0.276430552727273
"497","Western Asia","R",2,"MET",0.264690177727273
"498","Western Asia","R",2,"POP",0.00915610289613636
"499","Western Asia","R",3,"IPM",0.270674764772727
"500","Western Asia","R",3,"MET",0.264690177727273
"501","Western Asia","R",3,"POP",0.00461211973159091
"502","Western Asia","R",4,"IPM",0.269125589840909
"503","Western Asia","R",4,"MET",0.264690177727273
"504","Western Asia","R",4,"POP",0.00318813697272727
"505","Western Asia","W",2,"IPM",0.2911388532
"506","Western Asia","W",2,"MET",0.227020389
"507","Western Asia","W",2,"POP",0.051793382025
"508","Western Asia","W",3,"IPM",0.3722298582
"509","Western Asia","W",3,"MET",0.227020389
"510","Western Asia","W",3,"POP",0.117190699979
"511","Western Asia","W",4,"IPM",1.38064557893333
"512","Western Asia","W",4,"MET",0.227020389
"513","Western Asia","W",4,"POP",45.002714731433
"514","Western Europe","M",2,"IPM",0.221176512307692
"515","Western Europe","M",2,"MET",0.210283954134615
"516","Western Europe","M",2,"POP",0.00946895284509615
"517","Western Europe","M",3,"IPM",0.215831544615385
"518","Western Europe","M",3,"MET",0.210283954134615
"519","Western Europe","M",3,"POP",0.00550502379826923
"520","Western Europe","M",4,"IPM",0.20765389625
"521","Western Europe","M",4,"MET",0.210283954134615
"522","Western Europe","M",4,"POP",-0.000544555158365384
"523","Western Europe","R",2,"IPM",0.2665013525
"524","Western Europe","R",2,"MET",0.2633065325
"525","Western Europe","R",2,"POP",0.0028910730825
"526","Western Europe","R",3,"IPM",0.25690135
"527","Western Europe","R",3,"MET",0.2633065325
"528","Western Europe","R",3,"POP",-0.004289003575
"529","Western Europe","R",4,"IPM",0.242236545
"530","Western Europe","R",4,"MET",0.2633065325
"531","Western Europe","R",4,"POP",-0.0152313224
"532","Western Europe","W",2,"IPM",0.216633417169811
"533","Western Europe","W",2,"MET",0.189876332264151
"534","Western Europe","W",2,"POP",0.0225377973377358
"535","Western Europe","W",3,"IPM",0.233761812830189
"536","Western Europe","W",3,"MET",0.189876332264151
